"sku","section_width","aspect_ratio","diameter","tire_type","""sku"",""section_width"",""aspect_ratio"",""diameter"",""tire_type"""
147270,155,80,13,1,"""147270"",""155"",""80"",""13"",""1"""
147280,175,70,13,1,"""147280"",""175"",""70"",""13"",""1"""
147290,185,70,13,1,"""147290"",""185"",""70"",""13"",""1"""
147300,185,75,14,1,"""147300"",""185"",""75"",""14"",""1"""
147310,195,75,14,1,"""147310"",""195"",""75"",""14"",""1"""
147320,205,75,14,1,"""147320"",""205"",""75"",""14"",""1"""
147330,215,75,14,1,"""147330"",""215"",""75"",""14"",""1"""
147340,185,70,14,1,"""147340"",""185"",""70"",""14"",""1"""
147350,195,70,14,1,"""147350"",""195"",""70"",""14"",""1"""
147360,205,70,14,1,"""147360"",""205"",""70"",""14"",""1"""
147370,215,70,14,1,"""147370"",""215"",""70"",""14"",""1"""
147380,175,70,14,1,"""147380"",""175"",""70"",""14"",""1"""
147390,185,65,14,1,"""147390"",""185"",""65"",""14"",""1"""
147400,185,60,14,1,"""147400"",""185"",""60"",""14"",""1"""
147410,195,60,14,1,"""147410"",""195"",""60"",""14"",""1"""
147420,205,75,15,1,"""147420"",""205"",""75"",""15"",""1"""
147430,215,75,15,1,"""147430"",""215"",""75"",""15"",""1"""
147440,225,75,15,1,"""147440"",""225"",""75"",""15"",""1"""
147450,235,75,15,1,"""147450"",""235"",""75"",""15"",""1"""
147460,205,70,15,1,"""147460"",""205"",""70"",""15"",""1"""
147470,215,70,15,1,"""147470"",""215"",""70"",""15"",""1"""
147480,225,70,15,1,"""147480"",""225"",""70"",""15"",""1"""
147490,185,65,15,1,"""147490"",""185"",""65"",""15"",""1"""
147500,185,65,15,1,"""147500"",""185"",""65"",""15"",""1"""
147510,195,65,15,1,"""147510"",""195"",""65"",""15"",""1"""
147520,205,65,15,1,"""147520"",""205"",""65"",""15"",""1"""
147530,215,65,15,1,"""147530"",""215"",""65"",""15"",""1"""
147540,185,60,15,1,"""147540"",""185"",""60"",""15"",""1"""
147550,195,60,15,1,"""147550"",""195"",""60"",""15"",""1"""
147560,205,60,15,1,"""147560"",""205"",""60"",""15"",""1"""
147570,215,60,15,1,"""147570"",""215"",""60"",""15"",""1"""
147580,225,60,15,1,"""147580"",""225"",""60"",""15"",""1"""
147590,205,50,15,1,"""147590"",""205"",""50"",""15"",""1"""
147600,205,65,16,1,"""147600"",""205"",""65"",""16"",""1"""
147610,215,65,16,1,"""147610"",""215"",""65"",""16"",""1"""
147620,235,65,16,1,"""147620"",""235"",""65"",""16"",""1"""
147630,205,60,16,1,"""147630"",""205"",""60"",""16"",""1"""
147250,215,60,16,1,"""147250"",""215"",""60"",""16"",""1"""
147260,225,60,16,1,"""147260"",""225"",""60"",""16"",""1"""
147640,235,60,16,1,"""147640"",""235"",""60"",""16"",""1"""
147650,205,55,16,1,"""147650"",""205"",""55"",""16"",""1"""
147660,225,55,16,1,"""147660"",""225"",""55"",""16"",""1"""
147670,215,60,17,1,"""147670"",""215"",""60"",""17"",""1"""
147680,225,60,17,1,"""147680"",""225"",""60"",""17"",""1"""
147690,225,55,17,1,"""147690"",""225"",""55"",""17"",""1"""
147700,215,50,17,1,"""147700"",""215"",""50"",""17"",""1"""
143700,155,80,13,1,"""143700"",""155"",""80"",""13"",""1"""
143200,175,70,13,1,"""143200"",""175"",""70"",""13"",""1"""
143210,185,70,13,1,"""143210"",""185"",""70"",""13"",""1"""
143300,185,75,14,1,"""143300"",""185"",""75"",""14"",""1"""
143310,195,75,14,1,"""143310"",""195"",""75"",""14"",""1"""
143320,205,75,14,1,"""143320"",""205"",""75"",""14"",""1"""
143220,175,70,14,1,"""143220"",""175"",""70"",""14"",""1"""
143230,185,70,14,1,"""143230"",""185"",""70"",""14"",""1"""
143240,195,70,14,1,"""143240"",""195"",""70"",""14"",""1"""
143250,205,70,14,1,"""143250"",""205"",""70"",""14"",""1"""
143470,215,70,14,1,"""143470"",""215"",""70"",""14"",""1"""
143600,175,65,14,1,"""143600"",""175"",""65"",""14"",""1"""
143610,185,65,14,1,"""143610"",""185"",""65"",""14"",""1"""
143620,195,65,14,1,"""143620"",""195"",""65"",""14"",""1"""
143500,185,60,14,1,"""143500"",""185"",""60"",""14"",""1"""
143510,195,60,14,1,"""143510"",""195"",""60"",""14"",""1"""
143330,205,75,15,1,"""143330"",""205"",""75"",""15"",""1"""
143340,215,75,15,1,"""143340"",""215"",""75"",""15"",""1"""
143350,225,75,15,1,"""143350"",""225"",""75"",""15"",""1"""
143400,235,75,15,1,"""143400"",""235"",""75"",""15"",""1"""
143270,205,70,15,1,"""143270"",""205"",""70"",""15"",""1"""
143770,215,70,15,1,"""143770"",""215"",""70"",""15"",""1"""
143290,225,70,15,1,"""143290"",""225"",""70"",""15"",""1"""
143630,185,65,15,1,"""143630"",""185"",""65"",""15"",""1"""
143640,195,65,15,1,"""143640"",""195"",""65"",""15"",""1"""
143650,205,65,15,1,"""143650"",""205"",""65"",""15"",""1"""
143660,215,65,15,1,"""143660"",""215"",""65"",""15"",""1"""
143740,185,60,15,1,"""143740"",""185"",""60"",""15"",""1"""
143530,195,60,15,1,"""143530"",""195"",""60"",""15"",""1"""
143540,205,60,15,1,"""143540"",""205"",""60"",""15"",""1"""
143550,215,60,15,1,"""143550"",""215"",""60"",""15"",""1"""
143670,205,65,16,1,"""143670"",""205"",""65"",""16"",""1"""
