"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","suggested tire size","with"
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
,,,,,,,,,,"plus-20","235/30-20",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
,,,,,,,,,,"oe-15","195/55-15",
,,,,,,,,,,"plus-16","205/45-16",
,,,,,,,,,,"plus-17","215/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
,,,,,,,,,,"plus-16","205/45-16",
,,,,,,,,,,"plus-17","215/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
,,,,,,,,,,"plus-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
,,,,,,,,,,"plus-19","215/35-19",
"Acura","Legend ","BASE",1991,1995,"5x114.3",70.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
,,,,,,,,,,"oe-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
,,,,,,,,,,"plus-19","215/35-19",
"Acura","NSX ","BASE",1994,2001,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-16","215/45-16",
,,,,,,,,,,"r/oe-17","245/40-17",
,,,,,,,,,,"f/plus-17","215/40-17",
,,,,,,,,,,"r/plus-18","255/35-18",
"Acura","NSX ","BASE",2002,2005,"5x114.3","F-64.1, R-70.1","HIGH","12X1.5","NUT","f/oe-17","215/40-17",
,,,,,,,,,,"r/oe-17","255/40-17",
,,,,,,,,,,"f/plus-18","215/35-18",
,,,,,,,,,,"r/plus-18","255/35-18",
"Acura","RL ",3.5,1997,2004,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
,,,,,,,,,,"oe-16","225/55-16",
,,,,,,,,,,"plus-17","225/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
"Acura","RL ",3.5,2005,2008,"5x120",64.1,"HIGH","12X1.5","NUT","oe-17","245/50-17",
,,,,,,,,,,"plus-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
,,,,,,,,,,"plus-20","255/35-20",
"Acura","RL",3.5,2007,2009,"5x120",64.1,"HIGH+","14X1.5",,"oe-460","245/680-460","technology package and 460mm wheel. technology package is equipped with michelin pax system run flat tires - do not alter"
"Acura","RL",3.5,2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
,,,,,,,,,,"plus-20","245/35-20",
"Acura","RSX ","BASE",2002,2006,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","215/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
,,,,,,,,,,"plus-20","225-30-20",
"Acura","TC ",2.5,1992,1995,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
,,,,,,,,,,"plus-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
"Acura","TL",2.5,1996,1998,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
,,,,,,,,,,"plus-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
"Acura","TL",3.2,1996,1998,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-15","205/65-15",
,,,,,,,,,,"plus-16","215/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"Acura","TL",3.2,1999,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Acura","TL ","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","235/45-17",
,,,,,,,,,,"plus-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
,,,,,,,,,,"plus-20","235/30-20",
"Acura","TL","BASE",2009,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-17","245/50-17",
,,,,,,,,,,"oe-18","245/45-18",
,,,,,,,,,,"oe-19","245/40-19",
,,,,,,,,,,"plus-20","245/35-20",
"Acura","TSX","BASE",2004,2008,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","215/50-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
,,,,,,,,,,"plus-20","225/30-20",
"Acura","TSX","BASE",2009,2009,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-17","225/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"Acura","VIGOR ","BASE",1992,1994,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
,,,,,,,,,,"plus-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
"Acura","MDX ","BASE",2001,2006,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-17","235/65-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-19","255/50-19",
,,,,,,,,,,"plus-20","255/45-20",
"Acura","MDX ","BASE",2007,2009,"5x120",64.1,"HIGH+","14X1.5","NUT","oe-18","255/55-18",
,,,,,,,,,,"plus-19","255/50-19",
,,,,,,,,,,"plus-20","255/45-20",
,,,,,,,,,,"plus-22","265/35-22",
"Acura","RDX","BASE",2007,2009,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-18","235/55-18",
,,,,,,,,,,"oe-19","245/45-19",
,,,,,,,,,,"plus-20","245/40-20",
"Acura","SLX","BASE",1996,1999,"6x139.7",108,"MID","12X1.5","NUT","oe-16","245/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
"Audi Quattro","A3","2.OT",2006,2009,"5x112",57.1,"HIGH+","14.1.5","B BOLT","oe-17","225/45-17","fwd"
,,,,,,,,,,"oe-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi Quattro","A3 ",3.2,2006,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","225/45-17",
,,,,,,,,,,"oe-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","A4","1.8T",1997,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
,,,,,,,,,,"oe-15","205/60-15",
,,,,,,,,,,"oe-16","205/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","A4",2.8,1996,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","A4","1.8T",2002,2008,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","205/65-15","fwd"
,,,,,,,,,,"oe-16","215/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"oe-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Audi","A4","2.0T",2005,2008,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"oe-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Audi","A4",3,2002,2008,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"oe-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Audi","A4",3.2,2005,2008,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","235/45-17",
,,,,,,,,,,"oe-19","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"AudI Quattro","A4",2,2009,2009,"5x112",66.6,"HIGH","14.1.5","B BOLT","oe-17","225/50-17",
,,,,,,,,,,"oe-17","245/45-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi Cabriolet","A4",2,2009,2009,"5x112",66.6,"HIGH","14.1.5","B BOLT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"oe-18","235/40-18",
,,,,,,,,,,"oe-19","235/35-19",
,,,,,,,,,,"oe-20","235/30-20",
"Audi Quattro","A4",3.2,2009,2009,"5x112",66.6,"HIGH","14.1.5","B BOLT","oe-17","225/50-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi Cabriolet","A4",3.2,2009,2009,"5x112",66.6,"HIGH","14.1.5","B BOLT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"oe-18","235/40-18",
,,,,,,,,,,"oe-19","235/35-19",
,,,,,,,,,,"oe-20","235/30-20",
"Audi","A5 ",2.8,1995,1999,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
"Audi","A5 ",3.2,2008,2009,"5x112",66.6,"MD+","14.1.5","B BOLT","oe-18","245/40-18",
,,,,,,,,,,"oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi","A5 ",4.2,2008,2009,"5x112",66.6,"MD+","14.1.5","B BOLT","oe-18","245/40-18",
,,,,,,,,,,"oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi","A6","BASE",1995,1999,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","195/65-15",
,,,,,,,,,,"plus-16","205/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","A6",2.8,2000,2001,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","A6","2.7T",2000,2004,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","215/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"plus-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Audi","A6",3,2002,2004,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"oe-16","215/55-16",
,,,,,,,,,,"plus-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","A6",4.2,2000,2004,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","235/50-16",
,,,,,,,,,,"oe-17","255/40-17",
,,,,,,,,,,"plus-17","235/45-17",
,,,,,,,,,,"plus-18","255/35-18",
,,,,,,,,,,"plus-19","255/30-19",
"Audi","A6",3,2009,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","245/45-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"Audi","A6",3.2,2005,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","225/55-16",
,,,,,,,,,,"oe-17","245/45-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"Audi","A6",4.2,2005,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","245/45-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"oe-19","255/35-19",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"Audi","A8","BASE",1997,2003,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","225/60-16",
,,,,,,,,,,"oe-17","225/55-17",
,,,,,,,,,,"oe-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
,,,,,,,,,,"plus-20","245/35-20",
"Audi","A8",4.2,2004,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-17","235/55-17",
,,,,,,,,,,"oe-18","255/45-18",
,,,,,,,,,,"oe-19","255/40-19",
,,,,,,,,,,"oe-20","275/35-20",
,,,,,,,,,,"plus-20","255/35-20",
"Audi","A8","6.0 W12",2005,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-18","255/45-18",
,,,,,,,,,,"oe-19","255/40-19",
,,,,,,,,,,"oe-20","275/35-20",
"Audi","ALLROAD","BASE",2001,2002,"5x112",57.1,"MID","14.1.5","B BOLT","oe-17","225/55-17",
,,,,,,,,,,"plus-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
"Audi","ALLROAD ","2.7T",2003,2005,"5x112",57.1,"MID","14.1.5","B BOLT","oe-17","225/55-17",
,,,,,,,,,,"plus-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
"Audi","ALLROAD",4.2,2003,2005,"5x112",57.1,"MID","14.1.5","B BOLT","oe-17","225/55-17",
,,,,,,,,,,"oe-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
"Audi","RS4","BASE",2007,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi","S4","BASE",1993,2008,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-15","215/60-15",
,,,,,,,,,,"oe-16","225/50-16",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"oe-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Audi","S4","BASE",2009,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-18","235/40-18",
,,,,,,,,,,"plus-19","235/35-19",
"Audi","S5","BASE",2008,2009,"5x112",57.1,"MID+","14.1.5","B BOLT","oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi","S6","BASE",2007,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-18","255/40-18",
,,,,,,,,,,"oe-19","265/35-19",
,,,,,,,,,,"plus-20","265/30-20",
"Audi","S8",5.2,2007,2009,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-20","265/35-20",
"Audi","TT","BASE",2000,2006,"5x112",57.1,"HIGH","14.1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"oe-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"Audi","TT",2,2008,2009,"5x112",57.1,"HIGH+","14.1.5","B BOLT","oe-17","225/50-17",
,,,,,,,,,,"oe-17","245/45-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"oe-19","255/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"Audi","TT",3.2,2008,2009,"5x112",57.1,"HIGH+","14.1.5","B BOLT","oe-17","225/50-17",
,,,,,,,,,,"oe-17","245/45-17",
,,,,,,,,,,"oe-18","245/40-18",
