"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","tire_size","with"
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",2.2,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL",3,1998,2000,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","215/60-15",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","CL  ",3.2,2001,2003,"5x114.3",64.1,"HIGH+","12X1.5","NUT","oe-16","205/60-16",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1986,2001,"4x100",56.1,"HIGH","12X1.5","NUT","oe-14","195/60-14",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Integra ","BASE",1997,2001,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
"Acura","Legend ","BASE",1986,1990,"4x114.3",64.1,"HIGH","12X1.5","NUT","oe-15","205/60-15",
