sku,year,make,model
sku245,2012,make19,model11
sku256,1991,make13,model63
sku393,2005,make21,model354
sku138,2007,make6,model312
sku49,1995,make1,model136
sku994,1990,make36,model64
sku810,1993,make18,model443
sku90,2009,make31,model168
sku724,2013,make18,model490
sku69,2004,make6,model231
sku238,2002,make9,model188
sku249,1996,make50,model149
sku496,1990,make29,model245
sku38,1996,make31,model424
sku431,2013,make37,model260
sku762,1998,make43,model243
sku330,1995,make24,model199
sku817,2003,make43,model27
sku87,1990,make22,model168
sku293,2000,make32,model394
sku433,1994,make14,model236
sku471,2011,make16,model451
sku854,1991,make22,model308
sku393,1996,make5,model362
sku483,2003,make6,model150
sku129,2013,make18,model108
sku4,2008,make28,model148
sku208,1994,make5,model320
sku383,1998,make6,model427
sku252,2000,make38,model53
sku478,1994,make36,model435
sku447,2009,make30,model465
sku381,2007,make12,model255
sku690,2003,make37,model347
sku363,1996,make50,model285
sku456,1991,make11,model420
sku431,1997,make35,model342
sku748,2000,make40,model113
sku616,2002,make5,model32
sku325,2006,make50,model353
sku399,1995,make11,model45
sku802,2012,make40,model82
sku211,2008,make37,model334
sku842,2012,make26,model137
sku264,1994,make48,model6
sku638,2007,make12,model127
sku247,1997,make16,model286
sku18,1997,make14,model209
sku530,2001,make26,model166
sku427,1996,make25,model319
sku57,1995,make16,model449
sku172,2009,make9,model218
sku3,1992,make23,model321
sku865,2006,make45,model56
sku13,1995,make35,model16
sku519,2012,make23,model25
sku447,2012,make19,model437
sku238,2010,make26,model147
sku103,2009,make10,model138
sku620,1998,make36,model312
sku484,1993,make14,model175
sku837,1993,make23,model425
sku367,1993,make44,model443
sku100,1997,make47,model274
sku277,1997,make21,model257
sku188,2012,make41,model145
sku741,2013,make29,model181
sku358,1996,make50,model421
sku428,1995,make10,model133
sku402,2005,make6,model384
sku791,2013,make33,model445
sku317,2004,make22,model297
sku901,2010,make6,model44
sku784,2011,make19,model262
sku911,2012,make45,model134
sku214,2010,make6,model321
sku112,1997,make46,model257
sku949,1990,make15,model370
sku10,2012,make32,model164
sku521,1991,make46,model211
sku919,1990,make26,model351
sku938,2011,make12,model424
sku827,1992,make6,model21
sku978,1995,make35,model45
sku524,2004,make31,model236
sku607,2011,make11,model308
sku817,2010,make48,model169
sku903,2010,make38,model411
sku885,1996,make27,model411
sku152,2007,make34,model489
sku858,2008,make1,model418
sku9,2006,make47,model267
sku288,2002,make1,model447
sku409,1995,make26,model113
sku53,2000,make29,model478
sku312,1997,make39,model99
sku587,1997,make1,model370
sku46,2006,make36,model452
sku472,2007,make37,model241
sku434,2005,make1,model361
sku189,1990,make31,model299
sku231,1992,make42,model142
sku575,1999,make12,model443
sku703,1990,make5,model145
sku313,1992,make2,model180
sku788,2007,make14,model130
sku479,1990,make37,model456
sku664,2008,make32,model426
sku769,1995,make23,model500
sku371,1996,make15,model473
sku652,2002,make42,model178
sku536,2011,make33,model424
sku13,2006,make11,model401
sku416,2001,make4,model448
sku469,2009,make41,model66
sku553,2000,make50,model161
sku686,2000,make17,model29
sku700,2004,make1,model176
sku124,2009,make36,model330
sku744,1998,make26,model379
sku21,2007,make28,model219
sku181,2004,make17,model325
sku418,1993,make39,model485
sku576,2008,make15,model131
sku193,2004,make16,model446
sku214,1997,make13,model169
sku150,2012,make50,model447
sku297,2002,make33,model159
sku216,1994,make38,model198
sku824,1992,make3,model121
sku223,2009,make11,model400
sku587,2002,make3,model390
sku113,1999,make34,model163
sku697,2011,make34,model423
sku862,2005,make37,model80
sku165,1999,make24,model190
sku595,1995,make39,model209
sku316,2009,make33,model269
sku645,2010,make17,model116
sku370,1999,make1,model241
sku774,2006,make41,model236
sku595,2001,make16,model228
sku133,1991,make31,model149
sku444,1992,make34,model19
sku320,2000,make23,model318
sku272,1992,make9,model459
sku984,2002,make8,model177
sku906,1993,make42,model340
sku838,2005,make8,model216
sku114,2001,make45,model123
sku521,2002,make28,model483
sku591,1995,make1,model456
sku670,2000,make28,model471
sku573,2007,make43,model278
sku229,1990,make46,model67
sku161,2007,make41,model500
sku386,2013,make22,model250
sku429,1997,make38,model475
sku818,1996,make46,model205
sku505,2011,make16,model88
sku375,2010,make6,model474
sku584,2013,make26,model406
sku979,1999,make48,model70
sku154,2008,make7,model270
sku722,2003,make2,model75
sku884,2008,make5,model351
sku69,1990,make6,model287
sku930,2000,make38,model153
sku294,2010,make13,model439
sku836,2008,make35,model407
sku164,2005,make48,model159
sku393,1992,make43,model58
sku657,2011,make14,model270
sku673,1998,make13,model371
sku377,1998,make16,model154
sku780,1991,make31,model37
sku922,2010,make48,model379
sku614,2005,make29,model389
sku275,2002,make5,model334
sku614,2012,make40,model135
sku839,1991,make41,model256
sku409,1991,make13,model393
sku402,2003,make5,model91
sku625,2006,make13,model274
sku564,1994,make16,model89
sku845,2010,make48,model60
sku399,1991,make40,model6
sku995,2003,make15,model417
sku613,1992,make18,model11
sku142,2004,make41,model272
sku162,2011,make37,model393
sku600,2013,make17,model82
sku183,2005,make17,model14
sku511,1997,make8,model455
sku342,2012,make47,model168
sku500,1994,make9,model57
sku294,2002,make7,model218
sku110,2012,make49,model136
sku837,2006,make3,model219
sku678,1999,make30,model431
sku25,2012,make45,model268
sku234,1990,make23,model288
sku967,1998,make46,model233
sku568,1991,make29,model431
sku593,2007,make15,model352
sku650,1996,make49,model244
sku971,1990,make47,model325
sku419,2002,make26,model222
sku462,1999,make49,model348
sku430,2000,make14,model198
sku788,1994,make44,model178
sku260,2000,make11,model426
sku151,2002,make28,model401
sku782,2002,make15,model376
sku557,1995,make21,model488
sku734,2011,make21,model98
sku305,1999,make45,model367
sku819,1993,make7,model303
sku340,2013,make49,model300
sku431,1994,make23,model291
sku687,1990,make20,model234
sku533,2006,make11,model45
sku880,2004,make4,model307
sku528,2001,make41,model416
sku877,2006,make29,model348
sku858,2006,make16,model99
sku687,1996,make40,model59
sku439,1995,make35,model63
sku254,1991,make30,model393
sku750,2009,make44,model315
sku430,2012,make13,model479
sku418,1991,make40,model148
sku749,1998,make50,model303
sku51,1996,make41,model369
sku553,2004,make43,model496
sku849,2003,make6,model51
sku634,2006,make45,model192
sku517,2008,make1,model474
sku697,1996,make46,model58
sku305,2006,make21,model27
sku49,1999,make33,model50
sku688,2001,make42,model120
sku63,2006,make12,model456
sku242,1998,make1,model438
sku51,2011,make13,model284
sku660,1996,make26,model178
sku525,1999,make24,model415
sku110,2011,make45,model79
sku277,2002,make13,model482
sku2,1992,make11,model32
sku781,2000,make49,model12
sku779,2013,make45,model415
sku885,1993,make20,model272
sku425,2011,make45,model475
sku325,1998,make39,model217
sku249,2005,make30,model263
sku197,2010,make25,model100
sku939,2006,make14,model360
sku127,1995,make38,model453
sku222,2005,make37,model54
sku793,1993,make33,model109
sku38,2003,make9,model181
sku920,2012,make40,model85
sku599,1999,make35,model398
sku233,1994,make50,model86
sku876,1996,make45,model1
sku491,2005,make46,model356
sku268,2005,make41,model30
sku770,2001,make14,model404
sku18,2000,make9,model469
sku381,2013,make6,model490
sku349,2009,make39,model291
sku983,2008,make38,model429
sku24,2005,make43,model257
sku272,2008,make12,model270
sku406,1991,make30,model88
sku511,2010,make50,model265
sku314,1993,make24,model348
sku111,2003,make34,model230
sku372,2000,make3,model177
sku218,2009,make11,model121
sku434,1991,make38,model353
sku836,2013,make13,model121
sku24,2010,make21,model268
sku715,1999,make4,model15
sku543,2002,make37,model327
sku101,1999,make6,model236
sku847,1993,make42,model32
sku945,1990,make16,model189
sku107,1991,make5,model471
sku42,1997,make10,model33
sku166,2004,make30,model440
sku991,2005,make46,model267
sku191,2005,make10,model146
sku29,1997,make39,model438
sku451,2004,make47,model198
sku625,1995,make39,model366
sku305,2010,make34,model173
sku178,2010,make21,model172
sku452,1990,make12,model221
sku672,1993,make49,model432
sku763,1993,make8,model396
sku459,2011,make34,model455
sku503,2004,make16,model64
sku848,1991,make43,model76
sku929,2002,make25,model54
sku387,2011,make23,model420
sku917,2006,make15,model295
sku804,1996,make23,model283
sku416,2004,make18,model438
sku519,1990,make40,model11
sku625,1992,make8,model236
sku162,1990,make32,model46
sku539,1992,make10,model463
sku27,2005,make39,model472
sku318,1991,make27,model61
sku299,2013,make35,model358
sku586,1991,make30,model52
sku64,1998,make7,model344
sku460,1996,make8,model311
sku281,2008,make36,model410
sku903,2011,make38,model465
sku554,2002,make44,model436
sku552,1999,make50,model426
sku388,2006,make29,model487
sku720,1993,make4,model392
sku527,1994,make24,model493
sku476,2005,make31,model378
sku413,1997,make29,model158
sku228,1997,make13,model391
sku827,1992,make33,model190
sku522,2005,make12,model455
sku322,2009,make45,model21
sku948,2012,make42,model237
sku161,1997,make23,model318
sku924,1991,make20,model168
sku387,2013,make33,model307
sku283,2011,make20,model55
sku11,1991,make25,model266
sku690,2007,make22,model6
sku509,1997,make3,model229
sku280,2011,make47,model220
sku169,1999,make4,model47
sku457,2001,make22,model422
sku429,1991,make23,model356
sku972,2010,make42,model491
sku896,1997,make26,model293
sku23,2012,make30,model266
sku274,2005,make50,model277
sku524,2012,make50,model346
sku308,1991,make40,model382
sku531,1995,make31,model480
sku290,1991,make34,model131
sku913,2001,make13,model405
sku798,2008,make20,model411
sku708,2013,make18,model491
sku639,1998,make27,model82
sku257,2002,make43,model282
sku593,2005,make17,model62
sku850,2012,make5,model70
sku997,2008,make20,model455
sku245,2005,make36,model22
sku398,1992,make44,model53
sku103,1995,make5,model371
sku554,2004,make46,model405
sku147,2008,make19,model370
sku396,2006,make44,model123
sku635,2012,make20,model316
sku700,2008,make28,model473
sku425,1996,make50,model411
sku370,2010,make47,model237
sku64,1990,make11,model309
sku634,1992,make22,model391
sku876,2009,make26,model136
sku501,1999,make26,model68
sku329,2011,make39,model15
sku682,1997,make49,model53
sku564,2013,make47,model467
sku810,2010,make21,model437
sku866,2004,make25,model250
sku738,2012,make14,model307
sku718,2009,make45,model109
sku182,1999,make18,model256
sku298,1992,make27,model490
sku423,2002,make5,model494
sku472,1990,make46,model141
sku863,1997,make8,model365
sku946,2005,make12,model342
sku562,2002,make15,model140
sku306,1994,make25,model244
sku579,2010,make50,model439
sku965,2002,make43,model194
sku48,2012,make19,model260
sku949,1997,make40,model406
sku620,2012,make28,model283
sku598,2008,make13,model80
sku274,2003,make22,model290
sku725,2012,make4,model152
sku781,1991,make9,model373
sku601,1990,make7,model325
sku974,2002,make9,model461
sku800,2013,make37,model210
sku920,1996,make50,model259
sku42,1995,make34,model158
sku776,1992,make45,model250
sku46,2013,make41,model413
sku25,2013,make29,model313
sku16,2006,make14,model495
sku209,2000,make46,model4
sku408,2005,make22,model164
sku920,1999,make43,model481
