"year","make","model","option","category","subcategory","country"
"1986","FMC","DO10","Base","Sprayer","Agricultural Equipment","USA"
"1986","FMC","DO35","Base","Sprayer","Agricultural Equipment","USA"
"1987","FMC","100K","Base","Sprayer","Agricultural Equipment","USA"
"1987","FMC","793","Base","Sprayer","Agricultural Equipment","USA"
"1987","FMC","DO 35","Base","Sprayer","Agricultural Equipment","USA"
"1987","FMC","DO50-C100","Base","Sprayer","Agricultural Equipment","USA"
"1987","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1988","FMC","PSC-125 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1989","FMC","792","Base","Sprayer","Agricultural Equipment","USA"
"1989","FMC","992","Base","Sprayer","Agricultural Equipment","USA"
"1989","FMC","993","Base","Sprayer","Agricultural Equipment","USA"
"1989","FMC","DO 35","Base","Sprayer","Agricultural Equipment","USA"
"1989","FMC","DO35","Base","Sprayer","Agricultural Equipment","USA"
"1989","FMC","DO50-C100","Base","Sprayer","Agricultural Equipment","USA"
"1989","FMC","PSC-125 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1989","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1990","FMC","4300 TREE SHAKR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1990","FMC","592","Base","Sprayer","Agricultural Equipment","USA"
"1990","FMC","DMI 15E200","Base","Sprayer","Agricultural Equipment","USA"
"1990","FMC","DO 35","Base","Sprayer","Agricultural Equipment","USA"
"1990","FMC","DO35","Base","Sprayer","Agricultural Equipment","USA"
"1991","FMC","592","Base","Sprayer","Agricultural Equipment","USA"
"1991","FMC","792","Base","Sprayer","Agricultural Equipment","USA"
"1991","FMC","993","Base","Sprayer","Agricultural Equipment","USA"
"1991","FMC","DO 35","Base","Sprayer","Agricultural Equipment","USA"
"1991","FMC","IDS1400","Base","Sprayer","Agricultural Equipment","USA"
"1991","FMC","PSC-125 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1991","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1992","FMC","5700 TOMATO HAR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1992","FMC","993","Base","Sprayer","Agricultural Equipment","USA"
"1992","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1993","FMC","DM10 E200","Base","Sprayer","Agricultural Equipment","USA"
"1993","FMC","PSC-125 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1993","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1994","FMC","993","Base","Sprayer","Agricultural Equipment","USA"
"1994","FMC","DO 35","Base","Sprayer","Agricultural Equipment","USA"
"1994","FMC","PSC-125 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1994","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1995","FMC","4300 TREE SHAKR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1995","FMC","5700 TOMATO HAR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1995","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1995","FMC","SOYBEAN HARVEST","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1996","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1996","FMC","PSC-156 TRACKED","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1997","FMC","4300 TREE SHAKR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1997","FMC","PSC-156 TRACKED","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1998","FMC","4300 TREE SHAKR","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"2000","FMC","PSC-156 (PEAS)","Base","Other Agricultural Equipment","Agricultural Equipment","USA"
"1981","Fendt","231GT","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1981","Fendt","FARMER 305LS(A)","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1981","Fendt","FARMER 310","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1982","Fendt","F304LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Fendt","F304LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1983","Fendt","FARMER 306LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1984","Fendt","FARMER 305LS(A)","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1984","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1985","Fendt","F304LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1985","Fendt","FARMER 305LS(A)","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1986","Fendt","FARMER 305LS(A)","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1986","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1987","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1990","Fendt","612LSA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1990","Fendt","FARMER 305LS(A)","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1990","Fendt","FARMER 306LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1991","Fendt","311LSA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1991","Fendt","FARMER 250","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1991","Fendt","FARMER 306LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1991","Fendt","FARMER 308LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1991","Fendt","FARMER 310","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","240S","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","345GT","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","360GT","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","614LSA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","F304LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","FARMER 260","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","FARMER 308LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1992","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","240S","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","311LSA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","390","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","FARMER 250","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","FARMER 305LS(A)","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","FARMER 306LS(LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1993","Fendt","FARMER 309","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","612LSA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","615LSA","Base","Agricultural Tractor","Agricultural Equipment","USA"
"1994","Fendt","F304LS","Base","Agricultural Tractor","Agricultural Equipment","USA"
